'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'26:50.000',-0.305,-0.060
'26:50.003',-0.320,-0.060
'26:50.006',-0.320,-0.060
'26:50.008',-0.300,-0.060
'26:50.011',-0.300,-0.050
'26:50.014',-0.295,-0.055
'26:50.017',-0.295,-0.065
'26:50.019',-0.305,-0.070
'26:50.022',-0.310,-0.070
'26:50.025',-0.295,-0.085
'26:50.028',-0.285,-0.085
'26:50.031',-0.285,-0.100
'26:50.033',-0.290,-0.125
'26:50.036',-0.305,-0.110
'26:50.039',-0.320,-0.120
'26:50.042',-0.305,-0.105
'26:50.044',-0.285,-0.110
'26:50.047',-0.285,-0.105
'26:50.050',-0.285,-0.110
'26:50.053',-0.290,-0.120
'26:50.056',-0.295,-0.120
'26:50.058',-0.270,-0.105
'26:50.061',-0.255,-0.085
'26:50.064',-0.270,-0.105
'26:50.067',-0.255,-0.115
'26:50.069',-0.280,-0.110
'26:50.072',-0.275,-0.120
'26:50.075',-0.250,-0.105
'26:50.078',-0.240,-0.090
'26:50.081',-0.245,-0.105
'26:50.083',-0.260,-0.100
'26:50.086',-0.250,-0.120
'26:50.089',-0.235,-0.110
'26:50.092',-0.215,-0.095
'26:50.094',-0.190,-0.085
'26:50.097',-0.200,-0.090
'26:50.100',-0.195,-0.100
'26:50.103',-0.190,-0.110
'26:50.106',-0.185,-0.115
'26:50.108',-0.155,-0.100
'26:50.111',-0.155,-0.105
'26:50.114',-0.150,-0.110
'26:50.117',-0.140,-0.110
'26:50.119',-0.145,-0.115
'26:50.122',-0.135,-0.115
'26:50.125',-0.120,-0.105
'26:50.128',-0.095,-0.105
'26:50.131',-0.095,-0.105
'26:50.133',-0.085,-0.105
'26:50.136',-0.080,-0.110
'26:50.139',-0.065,-0.090
'26:50.142',-0.040,-0.085
'26:50.144',-0.025,-0.060
'26:50.147',-0.005,-0.070
'26:50.150',-0.020,-0.080
'26:50.153',-0.010,-0.105
'26:50.156',0.000,-0.090
'26:50.158',0.025,-0.060
'26:50.161',0.025,-0.070
'26:50.164',0.015,-0.070
'26:50.167',0.015,-0.075
'26:50.169',0.020,-0.090
'26:50.172',0.030,-0.075
'26:50.175',0.050,-0.065
'26:50.178',0.055,-0.070
'26:50.181',0.045,-0.070
'26:50.183',0.025,-0.100
'26:50.186',0.015,-0.110
'26:50.189',0.010,-0.130
'26:50.192',0.025,-0.125
'26:50.194',0.015,-0.120
'26:50.197',0.015,-0.120
'26:50.200',-0.005,-0.145
'26:50.203',-0.010,-0.150
'26:50.206',-0.030,-0.135
'26:50.208',-0.030,-0.125
'26:50.211',-0.025,-0.115
'26:50.214',-0.025,-0.110
'26:50.217',-0.045,-0.115
'26:50.219',-0.070,-0.145
'26:50.222',-0.100,-0.135
'26:50.225',-0.095,-0.125
'26:50.228',-0.100,-0.110
'26:50.231',-0.110,-0.110
'26:50.233',-0.120,-0.125
'26:50.236',-0.135,-0.120
'26:50.239',-0.150,-0.110
'26:50.242',-0.140,-0.100
'26:50.244',-0.130,-0.090
'26:50.247',-0.140,-0.105
'26:50.250',-0.160,-0.105
'26:50.253',-0.175,-0.120
'26:50.256',-0.175,-0.105
'26:50.258',-0.160,-0.095
'26:50.261',-0.165,-0.095
'26:50.264',-0.170,-0.095
'26:50.267',-0.175,-0.100
'26:50.269',-0.175,-0.105
'26:50.272',-0.185,-0.105
'26:50.275',-0.185,-0.095
'26:50.278',-0.165,-0.095
'26:50.281',-0.155,-0.085
'26:50.283',-0.170,-0.105
'26:50.286',-0.170,-0.100
'26:50.289',-0.180,-0.080
'26:50.292',-0.180,-0.075
'26:50.294',-0.165,-0.070
'26:50.297',-0.170,-0.060
'26:50.300',-0.175,-0.070
'26:50.303',-0.185,-0.070
'26:50.306',-0.190,-0.070
'26:50.308',-0.175,-0.055
'26:50.311',-0.180,-0.050
'26:50.314',-0.180,-0.055
'26:50.317',-0.185,-0.055
'26:50.319',-0.180,-0.060
'26:50.322',-0.160,-0.055
'26:50.325',-0.155,-0.050
'26:50.328',-0.155,-0.035
'26:50.331',-0.165,-0.050
'26:50.333',-0.170,-0.050
'26:50.336',-0.170,-0.075
'26:50.339',-0.175,-0.060
'26:50.342',-0.160,-0.065
'26:50.344',-0.140,-0.070
'26:50.347',-0.130,-0.080
'26:50.350',-0.150,-0.100
'26:50.353',-0.160,-0.105
'26:50.356',-0.155,-0.090
'26:50.358',-0.145,-0.090
'26:50.361',-0.135,-0.070
'26:50.364',-0.145,-0.090
'26:50.367',-0.145,-0.095
'26:50.369',-0.155,-0.100
'26:50.372',-0.150,-0.085
'26:50.375',-0.140,-0.085
'26:50.378',-0.115,-0.090
'26:50.381',-0.125,-0.080
'26:50.383',-0.135,-0.090
'26:50.386',-0.145,-0.100
'26:50.389',-0.150,-0.085
'26:50.392',-0.140,-0.095
'26:50.394',-0.125,-0.075
'26:50.397',-0.125,-0.075
'26:50.400',-0.130,-0.080
'26:50.403',-0.140,-0.095
'26:50.406',-0.160,-0.085
'26:50.408',-0.140,-0.090
'26:50.411',-0.130,-0.080
'26:50.414',-0.125,-0.070
'26:50.417',-0.125,-0.090
'26:50.419',-0.140,-0.090
'26:50.422',-0.165,-0.085
'26:50.425',-0.150,-0.065
'26:50.428',-0.160,-0.065
'26:50.431',-0.140,-0.065
'26:50.433',-0.145,-0.075
'26:50.436',-0.145,-0.085
'26:50.439',-0.145,-0.080
'26:50.442',-0.155,-0.065
'26:50.444',-0.135,-0.040
'26:50.447',-0.140,-0.045
'26:50.450',-0.145,-0.050
'26:50.453',-0.155,-0.060
'26:50.456',-0.165,-0.045
'26:50.458',-0.140,-0.030
'26:50.461',-0.140,-0.025
'26:50.464',-0.140,-0.030
'26:50.467',-0.155,-0.035
'26:50.469',-0.170,-0.045
'26:50.472',-0.165,-0.035
'26:50.475',-0.145,-0.020
'26:50.478',-0.150,-0.015
'26:50.481',-0.140,-0.025
'26:50.483',-0.150,-0.035
'26:50.486',-0.155,-0.055
'26:50.489',-0.150,-0.055
'26:50.492',-0.140,-0.050
'26:50.494',-0.135,-0.065
'26:50.497',-0.155,-0.075
'26:50.500',-0.160,-0.085
'26:50.503',-0.180,-0.105
'26:50.506',-0.175,-0.085
'26:50.508',-0.170,-0.080
'26:50.511',-0.155,-0.070
'26:50.514',-0.155,-0.080
'26:50.517',-0.150,-0.090
'26:50.519',-0.170,-0.095
'26:50.522',-0.180,-0.080
'26:50.525',-0.160,-0.075
'26:50.528',-0.160,-0.075
'26:50.531',-0.150,-0.075
'26:50.533',-0.160,-0.095
'26:50.536',-0.170,-0.090
'26:50.539',-0.175,-0.090
'26:50.542',-0.165,-0.075
'26:50.544',-0.165,-0.065
'26:50.547',-0.150,-0.080
'26:50.550',-0.160,-0.075
'26:50.553',-0.160,-0.090
'26:50.556',-0.165,-0.075
'26:50.558',-0.170,-0.070
'26:50.561',-0.165,-0.070
'26:50.564',-0.160,-0.075
'26:50.567',-0.175,-0.090
'26:50.569',-0.175,-0.085
'26:50.572',-0.175,-0.085
'26:50.575',-0.165,-0.070
'26:50.578',-0.150,-0.070
'26:50.581',-0.150,-0.075
'26:50.583',-0.160,-0.085
'26:50.586',-0.165,-0.085
'26:50.589',-0.180,-0.075
'26:50.592',-0.180,-0.065
'26:50.594',-0.160,-0.055
'26:50.597',-0.155,-0.045
'26:50.600',-0.160,-0.055
'26:50.603',-0.170,-0.050
'26:50.606',-0.170,-0.050
'26:50.608',-0.160,-0.030
'26:50.611',-0.145,-0.035
'26:50.614',-0.150,-0.025
'26:50.617',-0.135,-0.040
'26:50.619',-0.145,-0.040
'26:50.622',-0.140,-0.025
'26:50.625',-0.125,-0.010
'26:50.628',-0.110,-0.025
'26:50.631',-0.125,-0.015
'26:50.633',-0.130,-0.030
'26:50.636',-0.130,-0.035
'26:50.639',-0.135,-0.040
'26:50.642',-0.110,-0.030
'26:50.644',-0.095,-0.025
'26:50.647',-0.085,-0.055
'26:50.650',-0.080,-0.075
'26:50.653',-0.070,-0.080
'26:50.656',-0.065,-0.085
'26:50.658',-0.060,-0.060
'26:50.661',-0.055,-0.065
'26:50.664',-0.075,-0.065
'26:50.667',-0.085,-0.075
'26:50.669',-0.090,-0.090
'26:50.672',-0.105,-0.090
'26:50.675',-0.110,-0.090
'26:50.678',-0.110,-0.075
'26:50.681',-0.110,-0.090
'26:50.683',-0.105,-0.090
'26:50.686',-0.120,-0.100
'26:50.689',-0.140,-0.095
'26:50.692',-0.135,-0.080
'26:50.694',-0.150,-0.080
'26:50.697',-0.150,-0.085
'26:50.700',-0.155,-0.090
'26:50.703',-0.175,-0.090
'26:50.706',-0.195,-0.080
'26:50.708',-0.200,-0.070
'26:50.711',-0.210,-0.080
'26:50.714',-0.225,-0.085
'26:50.717',-0.230,-0.095
'26:50.719',-0.250,-0.085
'26:50.722',-0.260,-0.080
'26:50.725',-0.255,-0.085
'26:50.728',-0.245,-0.065
'26:50.731',-0.250,-0.070
'26:50.733',-0.250,-0.085
'26:50.736',-0.265,-0.100
'26:50.739',-0.270,-0.095
'26:50.742',-0.285,-0.080
'26:50.744',-0.255,-0.065
'26:50.747',-0.265,-0.080
'26:50.750',-0.260,-0.080
'26:50.753',-0.280,-0.080
'26:50.756',-0.280,-0.065
'26:50.758',-0.280,-0.055
'26:50.761',-0.260,-0.030
'26:50.764',-0.265,-0.050
'26:50.767',-0.285,-0.055
'26:50.769',-0.285,-0.060
'26:50.772',-0.290,-0.050
'26:50.775',-0.280,-0.045
'26:50.778',-0.270,-0.035
'26:50.781',-0.290,-0.035
'26:50.783',-0.325,-0.050
'26:50.786',-0.365,-0.060
'26:50.789',-0.405,-0.045
'26:50.792',-0.410,-0.030
'26:50.794',-0.385,-0.030
'26:50.797',-0.325,-0.040
'26:50.800',-0.190,-0.040
'26:50.803',0.025,-0.055
'26:50.806',0.260,-0.080
'26:50.808',0.565,-0.070
'26:50.811',0.885,-0.080
'26:50.814',1.200,-0.095
'26:50.817',1.430,-0.120
'26:50.819',1.470,-0.140
'26:50.822',1.315,-0.150
'26:50.825',1.020,-0.150
'26:50.828',0.700,-0.140
'26:50.831',0.485,-0.125
'26:50.833',0.350,-0.105
'26:50.836',0.265,-0.090
'26:50.839',0.200,-0.055
'26:50.842',0.080,-0.035
'26:50.844',-0.040,-0.040
'26:50.847',-0.115,-0.065
'26:50.850',-0.125,-0.070
'26:50.853',-0.165,-0.095
'26:50.856',-0.215,-0.085
'26:50.858',-0.240,-0.075
'26:50.861',-0.255,-0.070
'26:50.864',-0.280,-0.075
'26:50.867',-0.310,-0.095
'26:50.869',-0.340,-0.095
'26:50.872',-0.345,-0.095
'26:50.875',-0.335,-0.085
'26:50.878',-0.325,-0.080
'26:50.881',-0.335,-0.090
'26:50.883',-0.340,-0.090
'26:50.886',-0.350,-0.105
'26:50.889',-0.365,-0.085
'26:50.892',-0.360,-0.080
'26:50.894',-0.350,-0.075
'26:50.897',-0.355,-0.075
'26:50.900',-0.370,-0.080
'26:50.903',-0.365,-0.100
'26:50.906',-0.360,-0.090
'26:50.908',-0.360,-0.075
'26:50.911',-0.350,-0.070
'26:50.914',-0.355,-0.070
'26:50.917',-0.360,-0.075
'26:50.919',-0.365,-0.080
'26:50.922',-0.380,-0.070
'26:50.925',-0.360,-0.045
'26:50.928',-0.360,-0.050
'26:50.931',-0.365,-0.045
'26:50.933',-0.365,-0.055
'26:50.936',-0.370,-0.060
'26:50.939',-0.380,-0.050
'26:50.942',-0.375,-0.045
'26:50.944',-0.365,-0.040
'26:50.947',-0.360,-0.035
'26:50.950',-0.375,-0.045
'26:50.953',-0.380,-0.060
'26:50.956',-0.385,-0.050
'26:50.958',-0.385,-0.035
'26:50.961',-0.365,-0.035
'26:50.964',-0.365,-0.045
'26:50.967',-0.380,-0.065
'26:50.969',-0.395,-0.085
'26:50.972',-0.385,-0.075
'26:50.975',-0.375,-0.090
'26:50.978',-0.380,-0.090
'26:50.981',-0.375,-0.090
'26:50.983',-0.375,-0.100
'26:50.986',-0.395,-0.105
'26:50.989',-0.390,-0.110
'26:50.992',-0.380,-0.095
