'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'21:00.000',-0.345,0.090
'21:00.003',-0.305,0.090
'21:00.006',-0.285,0.075
'21:00.008',-0.275,0.065
'21:00.011',-0.260,0.060
'21:00.014',-0.255,0.050
'21:00.017',-0.230,0.055
'21:00.019',-0.205,0.050
'21:00.022',-0.185,0.045
'21:00.025',-0.160,0.025
'21:00.028',-0.160,0.000
'21:00.031',-0.140,-0.005
'21:00.033',-0.120,0.000
'21:00.036',-0.100,0.005
'21:00.039',-0.080,-0.015
'21:00.042',-0.065,-0.035
'21:00.044',-0.055,-0.055
'21:00.047',-0.050,-0.060
'21:00.050',-0.035,-0.060
'21:00.053',-0.005,-0.070
'21:00.056',0.025,-0.080
'21:00.058',0.025,-0.095
'21:00.061',0.040,-0.100
'21:00.064',0.020,-0.105
'21:00.067',0.055,-0.115
'21:00.069',0.060,-0.125
'21:00.072',0.065,-0.125
'21:00.075',0.065,-0.145
'21:00.078',0.065,-0.150
'21:00.081',0.050,-0.165
'21:00.083',0.040,-0.155
'21:00.086',0.050,-0.160
'21:00.089',0.055,-0.160
'21:00.092',0.065,-0.180
'21:00.094',0.045,-0.190
'21:00.097',0.030,-0.190
'21:00.100',0.040,-0.190
'21:00.103',0.030,-0.175
'21:00.106',0.040,-0.190
'21:00.108',0.030,-0.190
'21:00.111',0.015,-0.210
'21:00.114',0.000,-0.215
'21:00.117',-0.005,-0.195
'21:00.119',-0.005,-0.190
'21:00.122',0.005,-0.190
'21:00.125',-0.005,-0.190
'21:00.128',-0.010,-0.195
'21:00.131',-0.025,-0.195
'21:00.133',-0.030,-0.180
'21:00.136',-0.015,-0.170
'21:00.139',0.000,-0.175
'21:00.142',0.010,-0.165
'21:00.144',0.005,-0.175
'21:00.147',0.010,-0.170
'21:00.150',0.010,-0.165
'21:00.153',0.020,-0.145
'21:00.156',0.020,-0.160
'21:00.158',0.015,-0.170
'21:00.161',0.010,-0.175
'21:00.164',-0.010,-0.185
'21:00.167',0.000,-0.175
'21:00.169',0.020,-0.180
'21:00.172',0.035,-0.185
'21:00.175',0.040,-0.185
'21:00.178',0.050,-0.195
'21:00.181',0.045,-0.200
'21:00.183',0.040,-0.190
'21:00.186',0.060,-0.180
'21:00.189',0.055,-0.185
'21:00.192',0.045,-0.185
'21:00.194',0.035,-0.195
'21:00.197',0.025,-0.190
'21:00.200',0.030,-0.170
'21:00.203',0.040,-0.165
'21:00.206',0.050,-0.170
'21:00.208',0.040,-0.185
'21:00.211',0.045,-0.200
'21:00.214',0.055,-0.200
'21:00.217',0.050,-0.185
'21:00.219',0.070,-0.175
'21:00.222',0.060,-0.180
'21:00.225',0.050,-0.180
'21:00.228',0.015,-0.185
'21:00.231',-0.025,-0.185
'21:00.233',-0.060,-0.180
'21:00.236',-0.070,-0.175
'21:00.239',-0.100,-0.180
'21:00.242',-0.105,-0.185
'21:00.244',-0.135,-0.185
'21:00.247',-0.170,-0.175
'21:00.250',-0.195,-0.175
'21:00.253',-0.185,-0.150
'21:00.256',-0.175,-0.155
'21:00.258',-0.180,-0.170
'21:00.261',-0.190,-0.175
'21:00.264',-0.210,-0.180
'21:00.267',-0.210,-0.170
'21:00.269',-0.200,-0.160
'21:00.272',-0.200,-0.170
'21:00.275',-0.185,-0.170
'21:00.278',-0.205,-0.185
'21:00.281',-0.215,-0.190
'21:00.283',-0.200,-0.170
'21:00.286',-0.200,-0.170
'21:00.289',-0.185,-0.180
'21:00.292',-0.180,-0.185
'21:00.294',-0.185,-0.190
'21:00.297',-0.200,-0.190
'21:00.300',-0.190,-0.185
'21:00.303',-0.175,-0.180
'21:00.306',-0.175,-0.170
